Trial Number,Params,Objective Value
0,"TEST:X0: 1.846070552931084, TEST:X1: 1.342227243226569, TEST:X2: 0.6179090117287394, TEST:X3: 0.2106594513135287",6.823272736909214
1,"TEST:X0: 1.1629617566264074, TEST:X1: 0.6284996494337654, TEST:X2: 0.08612947126069948, TEST:X3: 0.868643618767718",130.12448966360603
2,"TEST:X0: 0.8332902886046669, TEST:X1: 1.7827932874425925, TEST:X2: 0.32393092032844795, TEST:X3: 0.8958537704000114",612.4009127875989
3,"TEST:X0: 1.5392557513198635, TEST:X1: 1.7157073204792606, TEST:X2: 1.373487150121546, TEST:X3: 0.7587040451397675",315.4716535146256
4,"TEST:X0: 0.4404569366461213, TEST:X1: 0.03961508523905555, TEST:X2: 0.6896860958333308, TEST:X3: 1.812737668781868",182.1023318216618
5,"TEST:X0: 0.05728240016974073, TEST:X1: 0.3502446010296547, TEST:X2: 0.32759652513158644, TEST:X3: 0.7393261148588668",47.02134631670575
6,"TEST:X0: 0.17703829142539607, TEST:X1: 1.0199894765110198, TEST:X2: 0.42169072308260724, TEST:X3: 1.4059658104497983",214.12662842905647
7,"TEST:X0: 0.8790079946971348, TEST:X1: 0.8155885686010667, TEST:X2: 1.3587172356678823, TEST:X3: 1.7049530820528265",10.297387146514767
8,"TEST:X0: 0.5162213010793928, TEST:X1: 0.4868520736919184, TEST:X2: 1.8531743672864196, TEST:X3: 1.4332416272566333",370.27533323624993
9,"TEST:X0: 1.4215265855111432, TEST:X1: 1.5932145857988276, TEST:X2: 0.769086288861609, TEST:X3: 0.8700780254859541",135.14040860889742
10,"TEST:X0: 1.8425940797531608, TEST:X1: 1.004657649084891, TEST:X2: 0.6191351579363495, TEST:X3: 0.577986298202592",76.4571103967872
11,"TEST:X0: 1.1186420606757022, TEST:X1: 0.7634763045481663, TEST:X2: 1.123213190782679, TEST:X3: 1.8059099038237434",59.746131769089125
12,"TEST:X0: 1.9999999999999998, TEST:X1: 1.5427298052653358, TEST:X2: 0.5864178504829244, TEST:X3: 0.5715940082859037",21.503889583845055
13,"TEST:X0: 0.7313214449151575, TEST:X1: 1.02177847354731, TEST:X2: 1.2316234049646275, TEST:X3: 1.9999999999999998",42.44568689505035
14,"TEST:X0: 1.9999999999999998, TEST:X1: 1.445397269859566, TEST:X2: 0.7898168545743466, TEST:X3: 0.2264203503762718",18.277589911193516
15,"TEST:X0: 0.763246619899929, TEST:X1: 0.8329249187581901, TEST:X2: 1.1455678529689912, TEST:X3: 1.3052323769713463",1.777894907078333
16,"TEST:X0: 0.9751632408664843, TEST:X1: 0.987790535954862, TEST:X2: 1.2576364568418346, TEST:X3: 1.3304314451420447",7.7712407504198815
17,"TEST:X0: 0.6153107307422221, TEST:X1: 0.457637934378176, TEST:X2: 0.6658085795669568, TEST:X3: 0.35336830908336875",32.59940067246245
18,"TEST:X0: 1.0646856305853836, TEST:X1: 0.7931061628185513, TEST:X2: 0.9841187629040938, TEST:X3: 0.44647848984539623",50.30400878499683
19,"TEST:X0: 0.5273315498650293, TEST:X1: 0.2350935815499253, TEST:X2: 0.2567749674380488, TEST:X3: 0.0",50.30426835805441
20,"TEST:X0: 0.03329767607449643, TEST:X1: 0.42008946547552595, TEST:X2: 0.6353081669683639, TEST:X3: 0.0",43.757927408112906
21,"TEST:X0: 1.9394922573343423, TEST:X1: 1.3498999204447903, TEST:X2: 0.7261960417328224, TEST:X3: 0.8055053900685778",10.56652530187633
22,"TEST:X0: 0.348720901779691, TEST:X1: 0.7549863066132905, TEST:X2: 1.0265529984289088, TEST:X3: 0.4656292280576309",43.54044309200478
23,"TEST:X0: 0.749202443764449, TEST:X1: 0.8820187949552301, TEST:X2: 1.2837918390993333, TEST:X3: 1.2169493746263447",18.066973305127114
